Northern Trust Operating Services,3.6,2.5k,Financial Services , Bengaluru ,28
Sammaan Capital Limited,3.8,2.5k,NBFC , Gurugram ,201
Parle Agro,4.0,2.5k,Beverage , Mumbai ,258
Canara HSBC Life Insurance,3.6,2.5k,Insurance , Gurugram ,322
Planet Spark,3.8,2.5k,EdTech , Gurugram ,60
Patanjali Ayurved,3.9,2.4k,FMCG , Haridwar ,301
McDonald's,3.9,2.4k,Hospitality , New Delhi ,151
ICICI Securities,3.9,2.4k,Financial Services , Mumbai ,149
Hero FinCorp,3.9,2.4k,NBFC , New Delhi ,394
Emcure Pharmaceuticals,3.6,2.4k,Pharma , Pune ,117
Paras Hospital,4.1,2.4k,Healthcare , Patna ,62
Biocon Limited,4.0,2.4k,Biotechnology , Bengaluru ,65
Adani Group,3.8,2.4k,Power , Ahmedabad ,198
Intellect Design Arena,3.6,2.4k,Software Product , Chennai ,40
Statestreet HCL Services,3.4,2.4k,BPO , Chennai ,18
CorroHealth Infotech,3.6,2.4k,Analytics & KPO , Hyderabad ,35
Mahindra Rural Housing Finance,4.0,2.4k,NBFC , Mumbai ,469
Datamatics Global Services,3.4,2.4k,IT Services & Consulting , Mumbai ,37
Mahindra Holidays & Resorts,3.5,2.4k,Hospitality , Mumbai ,113
Taj Hotels Resorts and Palaces,4.2,2.4k,Hospitality , Mumbai ,111
Aditya Birla Group,4.1,2.4k,Metals & Mining , Mumbai ,271
Axis Direct,3.6,2.4k,Financial Services , Mumbai ,271
Syngene International,3.8,2.4k,Clinical Research , Bengaluru ,21
Cadila Pharmaceuticals,3.2,2.4k,Pharma , Ahmedabad ,135
3i Infotech,3.4,2.4k,IT Services & Consulting , Mumbai ,130
Cholamandalam MS General Insurance,3.7,2.4k,Insurance , Chennai ,390
Info Edge,3.9,2.4k,Internet , Noida ,69
TaskUs,3.0,2.4k,BPO , Indore ,36
Capgemini Engineering,3.3,2.4k,IT Services & Consulting , Bengaluru ,28
Delhi Public School,3.8,2.3k,Education & Training , New Delhi ,276
Bureau Veritas,3.8,2.3k,Other , Mumbai ,148
KocharTech,3.6,2.3k,IT Services & Consulting , Kolkata ,25
